pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,25,1,101,1,,,,,338.29711419995874,339.2971788998693,339.2971788998693,339.2971788998693,339.2971788998693,339.2971788998693,340.29786549974233,340.29786549974233,v,1,0.7492394004948437,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,25,2,102,2,,,,,341.0648274999112,342.0652077998966,342.0652077998966,342.0652077998966,342.0652077998966,342.0652077998966,343.0489066997543,343.0489066997543,c,1,0.644307800102979,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,25,3,103,3,,,,,343.71582179982215,344.7155597000383,344.7155597000383,344.7155597000383,344.7155597000383,344.7155597000383,345.7160601997748,345.7160601997748,z,1,3.419374499935657,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,26,0,104,0,,,,,349.1675807000138,350.16793469991535,350.16793469991535,350.16793469991535,350.16793469991535,350.16793469991535,351.16865020012483,351.16865020012483,x,1,3.4435334000736475,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,26,1,105,1,,,,,354.6366368997842,355.63701019994915,355.63701019994915,355.63701019994915,355.63701019994915,355.63701019994915,356.6373916999437,356.6373916999437,v,1,0.6799897002056241,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,26,2,106,2,,,,,357.3372697001323,358.33804209996015,358.33804209996015,358.33804209996015,358.33804209996015,358.33804209996015,359.3384094000794,359.3384094000794,v,0,3.1972619998268783,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,26,3,107,3,,,,,362.556291999761,363.5566766001284,363.5566766001284,363.5566766001284,363.5566766001284,363.5566766001284,364.5397803001106,364.5397803001106,z,1,1.2940495000220835,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,27,0,108,0,,,,,365.8575540999882,366.8407644997351,366.8407644997351,366.8407644997351,366.8407644997351,366.85792599990964,367.84163209982216,367.84163209982216,x,1,0.5811403999105096,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,27,1,109,1,,,,,368.44185779988766,369.4422398000024,369.4422398000024,369.4422398000024,369.4422398000024,369.4422398000024,370.42594490014017,370.42594490014017,v,1,0.6282466999255121,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,27,2,110,2,,,,,371.0758263999596,372.07591800019145,372.07591800019145,372.07591800019145,372.07591800019145,372.07591800019145,373.06027230015025,373.06027230015025,c,1,1.550484400242567,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-150,z,27,3,111,3,,,,,374.62753299996257,375.6272303997539,375.6272303997539,375.6272303997539,375.6272303997539,375.6272303997539,376.62779409997165,376.62779409997165,z,1,2.442971100099385,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
-50,x,28,0,112,0,,,,,379.0958875999786,380.0962768997997,380.0962768997997,380.0962768997997,380.0962768997997,380.0962768997997,381.07948300009593,381.07948300009593,x,1,1.2626855000853539,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
150,v,28,1,113,1,,,,,382.3633237001486,383.3641781001352,383.3641781001352,383.3641781001352,383.3641781001352,383.3641781001352,384.34736139979213,384.34736139979213,v,1,0.8403730001300573,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
50,c,28,2,114,2,,,,,385.2148782000877,386.2152547999285,386.2152547999285,386.2152547999285,386.2152547999285,386.2152547999285,387.1989583000541,387.1989583000541,c,1,0.7199899000115693,None,14,001,2023-10-16_22h50.02.683,Lab experiment 4,2023.1.3,61.27841471765154,
